country,violence,age,age_first,duration,urban,edu,n_children,employ_paid,own_house,own_land,att_wb,fam_ipv,part_age,part_edu,alcohol,wealth_idx,telephone_yes
PK,0,37,16.0,21.0,0,0,1,0,0,0,0,0,45.0,5.0,0,1,0
PK,0,31,20.0,11.0,0,5,3,0,0,1,1,0,29.0,0.0,0,2,0
PK,0,23,19.0,4.0,0,5,2,0,0,0,0,1,23.0,0.0,0,2,0
PK,0,20,20.0,0.0,0,8,0,1,0,0,0,0,20.0,9.0,0,1,0
PK,0,32,22.0,10.0,1,10,1,0,0,0,0,0,41.0,12.0,0,4,0
PK,1,37,23.0,14.0,1,9,1,0,0,0,0,0,40.0,16.0,0,4,0
PK,0,45,25.0,20.0,1,4,0,1,0,0,0,0,45.0,0.0,0,3,0
PK,1,29,26.0,3.0,1,10,1,0,0,0,0,1,36.0,7.0,0,3,0
PK,1,46,16.0,29.0,1,10,0,1,0,0,0,0,52.0,5.0,0,3,0
PK,0,48,28.0,20.0,1,16,0,1,0,0,0,0,49.0,12.0,0,4,1
PK,0,37,15.0,21.0,0,0,3,0,0,0,0,0,42.0,8.0,0,1,0
PK,1,25,14.0,11.0,0,0,1,0,0,0,1,0,32.0,0.0,0,0,0
PK,0,23,17.0,5.0,0,0,6,0,0,0,1,0,23.0,10.0,0,1,0
PK,1,46,14.0,32.0,0,0,0,0,0,0,1,0,55.0,0.0,0,0,0
PK,0,32,17.0,14.0,0,0,1,0,0,0,1,0,37.0,5.0,0,0,0
PK,0,25,14.0,10.0,0,0,1,0,0,0,1,0,27.0,3.0,0,0,0
PK,0,23,19.0,4.0,0,0,2,0,0,0,0,0,25.0,4.0,0,1,0
PK,0,30,15.0,15.0,0,0,1,0,0,0,0,0,37.0,5.0,0,0,0
PK,0,40,16.0,24.0,0,0,0,0,0,0,0,0,44.0,0.0,0,0,0
PK,1,26,17.0,9.0,0,5,2,0,0,0,1,0,30.0,7.0,0,1,0
PK,0,40,14.0,26.0,0,0,0,0,0,0,1,0,52.0,10.0,0,2,0
PK,1,38,16.0,22.0,0,4,1,0,0,0,1,1,44.0,16.0,0,1,0
PK,0,28,18.0,9.0,0,0,1,0,0,0,0,0,35.0,10.0,0,2,0
PK,0,19,15.0,4.0,0,10,1,0,0,0,1,0,30.0,12.0,0,2,0
PK,0,30,13.0,16.0,0,0,1,0,0,0,1,0,36.0,3.0,0,1,0
PK,0,30,15.0,15.0,0,3,2,0,0,0,0,0,30.0,8.0,0,1,0
PK,0,45,26.0,18.0,0,0,1,0,0,0,1,0,45.0,12.0,0,2,0
PK,0,27,13.0,14.0,0,0,1,0,0,0,1,1,35.0,12.0,0,2,0
PK,0,31,14.0,16.0,0,0,0,0,0,0,1,1,40.0,0.0,0,0,0
PK,0,38,19.0,18.0,0,0,0,0,0,0,1,0,46.0,0.0,0,1,0
PK,0,27,13.0,13.0,0,0,1,0,0,0,1,0,32.0,0.0,0,0,0
PK,0,39,14.0,24.0,0,0,1,1,0,0,1,1,60.0,0.0,0,0,0
PK,1,34,18.0,16.0,0,0,1,0,0,0,1,0,42.0,10.0,0,1,0
PK,0,43,18.0,24.0,0,0,0,0,0,0,1,0,45.0,4.0,0,0,0
PK,1,44,20.0,23.0,0,0,2,0,0,0,1,1,52.0,0.0,0,0,0
PK,0,31,16.0,15.0,0,0,1,0,0,0,1,1,40.0,0.0,0,0,0
PK,0,47,20.0,27.0,0,0,0,0,0,0,1,1,55.0,0.0,0,0,0
PK,1,24,23.0,0.0,0,0,1,0,0,0,1,0,27.0,0.0,0,0,0
PK,0,37,16.0,20.0,1,5,0,0,0,0,1,1,51.0,14.0,0,3,0
PK,0,30,17.0,13.0,1,8,1,1,0,0,1,1,34.0,8.0,0,2,0
PK,0,37,19.0,17.0,1,0,1,0,0,0,1,1,47.0,14.0,0,4,1
